id,Random Forest Classification,Classification Tree,AdaBoost,kNN,Classification Tree,Ibra,Rattle Tree,Forrest,Gini Classification Tree,Random Forest Classification,kNN,Classification Tree
51956,functional,functional,functional,functional needs repair,functional,functional,functional,functional needs repair,functional needs repair,functional,functional,functional
44099,functional,non functional,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional,functional
59,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
51359,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,functional,functional
15962,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
17853,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional,functional,functional,functional needs repair,functional,functional needs repair
42040,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
72243,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
63653,non functional,non functional,non functional,functional,non functional,functional,functional,non functional,non functional,functional,functional,non functional
26510,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
72053,functional,functional needs repair,non functional,functional,non functional,functional,functional,functional,functional needs repair,functional,non functional,non functional
29351,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
51897,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
20376,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
26804,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
67303,functional needs repair,non functional,non functional,functional,non functional,functional,functional,non functional,functional,functional,non functional,non functional
69780,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
45374,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
54665,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
39341,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
8869,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional needs repair
20691,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
19693,functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional,functional,functional,non functional
14321,functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
63059,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
67403,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
28912,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
12549,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
24328,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
13750,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
1574,non functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional,functional needs repair,non functional
44149,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional
53917,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional,functional,non functional,functional needs repair
22705,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
66465,functional needs repair,functional,functional,non functional,functional,functional,functional,functional needs repair,functional,functional needs repair,functional,functional
15644,non functional,functional,functional,functional,functional,non functional,non functional,non functional,functional,non functional,functional,functional
20773,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
33092,functional,non functional,non functional,functional,non functional,functional,non functional,functional,functional,non functional,non functional,non functional
54392,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
37850,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
5576,non functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
60840,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
9971,non functional,functional needs repair,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
57508,functional,non functional,non functional,functional,non functional,functional,functional,non functional,functional,functional,functional,non functional
25872,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
43978,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
38181,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
24325,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
2724,non functional,functional needs repair,functional needs repair,non functional,functional needs repair,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair
34794,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
56525,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
63155,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
67247,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
23387,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,functional,functional
17873,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional
18197,functional,functional,functional,non functional,functional,functional,non functional,functional,functional,functional,functional,functional
24834,non functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional needs repair,functional,functional,non functional,functional needs repair
4091,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
33261,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,functional,functional needs repair,functional
44384,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,non functional,functional
62096,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
64554,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
68314,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
53,functional,functional,functional,non functional,functional,functional,functional,non functional,functional,non functional,non functional,functional
23426,non functional,non functional,functional needs repair,non functional,functional needs repair,functional,non functional,functional needs repair,functional,non functional,non functional,functional needs repair
38259,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
16631,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
43162,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
44492,non functional,functional,functional,functional,functional,non functional,functional,non functional,non functional,non functional,functional,functional
38884,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional
13690,functional,functional needs repair,functional,non functional,functional,functional,functional needs repair,functional needs repair,functional,functional,functional,functional
60335,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
31856,functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional,functional,non functional
67891,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
25564,non functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional
55293,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
31866,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
71178,functional,functional,functional,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional
60279,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
28615,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
8744,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
48308,functional,functional,functional,non functional,functional,non functional,functional,non functional,functional,functional,functional,functional
49626,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
38098,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
30309,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional needs repair,non functional,functional needs repair
8015,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional
3496,non functional,non functional,non functional,non functional,non functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,non functional,non functional
56971,functional needs repair,functional,functional,functional,functional,functional,functional,non functional,functional,functional,non functional,functional
68616,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
8646,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
74104,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
37501,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
33001,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
69202,functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
68409,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
51847,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
55647,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional needs repair,functional
17923,functional,functional needs repair,functional needs repair,functional,functional needs repair,non functional,functional,functional,functional needs repair,functional,functional,functional needs repair
71743,functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional
51539,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
73819,non functional,non functional,functional,non functional,functional,functional,non functional,functional needs repair,non functional,non functional,non functional,functional
66881,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
58768,non functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
2648,functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
68933,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
12427,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
16633,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
24123,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
58551,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
17132,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional,non functional,functional
3027,non functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
2651,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
25998,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
63400,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
50028,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional
67897,functional,functional,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional,functional
21425,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
71756,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
16862,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
15420,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
47784,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
712,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
54368,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
2866,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
51130,non functional,non functional,non functional,functional needs repair,non functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
27993,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,non functional,non functional
21621,functional needs repair,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
66038,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
42182,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
17694,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
57759,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
47978,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,functional,non functional,non functional
52359,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
69656,non functional,functional,functional,functional,functional,non functional,functional,non functional,functional,non functional,functional,functional
24086,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional
43579,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
43284,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional,functional,functional
2877,functional,functional,functional,functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional
21171,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
40982,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
48396,functional,functional,non functional,functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
13323,non functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional,non functional,functional,non functional
28467,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
2768,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
73593,functional needs repair,non functional,non functional,functional,non functional,functional,non functional,functional needs repair,functional,non functional,functional,non functional
65164,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
69976,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
52145,functional needs repair,functional,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,non functional,functional needs repair
49259,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
23542,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
69848,functional,functional,functional,non functional,functional,functional,non functional,functional,non functional,non functional,non functional,functional
9305,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
14359,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
28925,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
21243,non functional,functional,functional,non functional,functional,functional,non functional,functional,functional,functional,non functional,functional
10616,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional needs repair,functional,non functional,functional needs repair,non functional
73667,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,functional,functional,functional,non functional
20566,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
63711,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
72840,non functional,functional,functional,non functional,functional,functional,functional,non functional,non functional,functional,functional,functional
31651,functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
3782,functional needs repair,functional,functional needs repair,non functional,functional needs repair,functional,functional,functional needs repair,functional,functional,non functional,functional needs repair
6799,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional,functional,non functional,non functional
21402,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional needs repair,non functional,functional needs repair
35390,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
12636,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
36887,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional,functional,non functional,non functional
20086,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
5634,functional,functional,functional,functional,functional,functional,non functional,non functional,non functional,functional,functional,functional
48029,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
29927,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional
2930,functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional
41800,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
68349,non functional,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional
61678,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
30270,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
4678,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
9392,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
20735,functional,non functional,non functional,functional,non functional,functional,functional,functional,functional,functional,non functional,non functional
49300,non functional,functional,functional,functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional
70339,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
25572,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
61445,functional needs repair,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
32190,non functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
39189,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
14853,functional needs repair,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional needs repair
52207,functional,functional,functional,functional,functional,functional,functional,non functional,functional,functional,functional,functional
48035,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,non functional,functional needs repair
73122,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
16352,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
42721,functional,functional,functional,non functional,functional,functional,non functional,non functional,functional,functional,non functional,functional
15116,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
7837,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
56907,non functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
46382,functional,functional,functional,functional,functional,functional,functional,non functional,non functional,functional,functional,functional
64521,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
67362,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
61861,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
72139,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
3398,functional needs repair,functional,functional,functional,functional,functional,functional needs repair,functional needs repair,functional,functional,non functional,functional
62911,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
48152,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
48001,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
64118,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional,functional,non functional,functional needs repair
65793,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional
61557,non functional,functional,functional,non functional,functional,functional,functional,non functional,functional,non functional,non functional,functional
32352,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
1830,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,functional,functional
50553,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
51961,functional,functional,non functional,functional,non functional,functional,functional,non functional,functional,non functional,functional,non functional
38481,non functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
48371,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
56540,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional,non functional,functional needs repair,functional,functional,non functional,functional needs repair
18142,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
72934,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,functional needs repair,non functional
39300,non functional,functional needs repair,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
40115,functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
3793,functional,functional,functional needs repair,non functional,functional needs repair,functional,functional,functional,non functional,non functional,functional,functional needs repair
59318,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional,functional,non functional,functional
68070,functional,functional,functional,non functional,functional,functional,functional,functional,functional,functional,non functional,functional
67527,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
34898,functional,functional,functional,functional,functional,functional,functional,functional,functional,functional,non functional,functional
